Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,1.4617675751777592,0.5834297616292525,0.6450196771641795,0.7971631205673759
2,0.41067950188343816,0.8660032399907429,0.4539429099204835,0.8439716312056738
3,0.205630967139208,0.9233973617218236,0.3662833630871237,0.873758865248227
4,0.12741424461888542,0.952788706317982,0.3990511421344421,0.875177304964539
5,0.10954837639200951,0.960194399444573,0.3985269372011378,0.8836879432624114
6,0.07169404680878474,0.9798657718120806,0.4439463669413261,0.8801418439716312
7,0.03793930774984187,0.9895857440407313,0.3886066894988749,0.8978723404255319
8,0.023542229654920387,0.9935200185142328,0.3754976172068188,0.9056737588652483
9,0.018452441437527316,0.9956028697060866,0.40799671501245643,0.9028368794326241
10,0.05051424477259694,0.9856514695672298,0.5905014537771892,0.8709219858156029
