Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,2.721694434700857,0.21453367276093496,1.8288756823271848,0.4347517730496454
2,1.4023947053729828,0.6042582735477898,1.1092618516321933,0.6723404255319149
3,0.812919859406693,0.7671835223327933,0.7364361751615331,0.774468085106383
4,0.5189786814290659,0.8544318444804443,0.6807572625242593,0.7886524822695036
5,0.3817953161647839,0.8847489007174265,0.4965387792902046,0.8390070921985816
6,0.2829644014694594,0.9129831057625549,0.47374434685439204,0.8453900709219858
7,0.22741020881876733,0.9280259199259431,0.5918528020088927,0.8304964539007093
8,0.18926824662641956,0.944688729460773,0.5361705074149571,0.8418439716312057
9,0.16122544754117837,0.9486230039342745,0.5328425898980559,0.8624113475177305
10,0.13318537637536376,0.9592686878037492,0.5185043647508608,0.8709219858156029
11,0.12477540454700094,0.9632029622772507,0.47022175563896973,0.873758865248227
12,0.09011545421287583,0.9740800740569313,0.5027964100492804,0.8631205673758865
13,0.08683452344537332,0.9731543624161074,0.5632675944021746,0.8695035460992908
14,0.061207673874962044,0.9826429067345522,0.5391643133558585,0.875886524822695
15,0.04588107771765977,0.9879657486692895,0.6511661854541201,0.8468085106382979
