Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,2.3849263329084227,0.37747498403236107,1.5112708610357697,0.622093023255814
2,1.182443794547295,0.7336597828401107,0.7877589070919863,0.8016795865633075
3,0.6811054984525758,0.8599105812220567,0.5248164514598158,0.8598191214470284
4,0.4468234768834244,0.9018522461145412,0.40448179579887195,0.8850129198966409
5,0.3155431075363743,0.9291036832020438,0.3521482542003553,0.8959948320413437
6,0.23267145581594129,0.9518841813923781,0.31184516128959117,0.9063307493540051
7,0.17532485908492892,0.9670002129018522,0.27748350591696413,0.9179586563307494
8,0.13585549426980975,0.9723227592080051,0.2744021358102867,0.917312661498708
9,0.10331603483658056,0.9804130295933574,0.28430068402637526,0.9166666666666666
10,0.08666384712393795,0.9825420481158186,0.26807284622078703,0.9231266149870802
11,0.0689603273636427,0.9882903981264637,0.2713066614665014,0.9224806201550387
12,0.06429862927290655,0.9857355758995103,0.290416716549968,0.9192506459948321
13,0.04817136422395199,0.9921226314668937,0.3016039573385851,0.9198966408268734
14,0.03759927003878821,0.9934000425803704,0.3172884453664121,0.9089147286821705
15,0.03142851159027239,0.9959548648073239,0.29760797575269776,0.9263565891472868
