Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,3.8014840744497773,0.14996878901373284,2.627855722628646,0.3913931207790168
2,1.8271090501854306,0.5881190178942988,1.082532082295897,0.7231035024344276
3,0.8834842129202929,0.7727840199750312,0.7469215338029455,0.7914245327469766
4,0.5715717393749962,0.837234706616729,0.6134783989333328,0.8266059368619444
5,0.4160049590041951,0.8777049521431544,0.5790769679836891,0.832888330453903
6,0.31758712645551923,0.9025697045359967,0.5519322426849275,0.850164912831789
7,0.2561818950130804,0.9204640033291719,0.5241660731774404,0.8594314433799277
8,0.20628032510939012,0.9343008739076155,0.5100113381561472,0.8621014606565102
9,0.18061762257400102,0.9406991260923845,0.5119002250657329,0.8729385896026386
10,0.14824996617608727,0.9504785684560966,0.518094909345806,0.8738809486414324
