Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,2.372650282723563,0.33489461358313816,1.4911964787650354,0.5529715762273901
2,1.094548695549673,0.6929955290611028,0.7443519296105375,0.7958656330749354
3,0.5665788952083815,0.8428784330423674,0.5184882949922502,0.8288113695090439
4,0.35528647387717044,0.8912071535022354,0.41642541108057674,0.8617571059431525
5,0.26114993087541893,0.9131360442835853,0.42188163585576816,0.8507751937984496
6,0.20613512110446586,0.9280391739408133,0.37214043978409667,0.8746770025839793
7,0.16820729694956418,0.9376197572918884,0.3995580729289153,0.8772609819121447
8,0.15386060337681753,0.9450713221205025,0.4210255103589026,0.8662790697674418
9,0.11782060472966255,0.9569938258462849,0.3755386914942682,0.8895348837209303
10,0.09887896181356644,0.966361507345114,0.3751047199073526,0.896640826873385
11,0.09871200332418084,0.9655098999361295,0.3946844762306392,0.8972868217054264
12,0.09193085425463664,0.970193740685544,0.39202195905225795,0.8953488372093024
13,0.07170816264463728,0.9782840110708964,0.343935720876973,0.9089147286821705
14,0.0623293120436193,0.9819033425590803,0.4021873274318797,0.8940568475452196
15,0.08207262117498028,0.977645305514158,0.4312883339313425,0.8940568475452196
