Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,3.1822440430686925,0.06225410784540616,3.1339816876337037,0.07446808510638298
2,3.0424610891025443,0.10668826660495256,3.109992262995835,0.1
3,2.377067810934848,0.2823420504512844,2.08796962174118,0.349645390070922
4,1.4155897828045807,0.587364036102754,1.528620257603784,0.5070921985815603
5,0.9193468811987071,0.7276093496875723,1.2206740849882576,0.5886524822695035
6,0.5744662537510985,0.8430918768803518,0.9736209874232927,0.6758865248226951
7,0.3487603310014489,0.9118259662115251,0.8734967818153454,0.7312056737588652
8,0.2230533842835919,0.95232585049757,0.8181183584526525,0.7489361702127659
9,0.15234752974689447,0.9671372367507521,0.8383999458467918,0.7418439716312056
10,0.10978289595306799,0.9777829206202268,0.8403252417000394,0.7624113475177305
