Epoch,TrainLoss,TrainAcc,ValidLoss,ValidAcc
1,2.721694434700857,0.21453367276093496,1.8288756823271848,0.4347517730496454
2,1.4023947053729828,0.6042582735477898,1.1092618516321933,0.6723404255319149
3,0.812919859406693,0.7671835223327933,0.7364361751615331,0.774468085106383
4,0.5189786814290659,0.8544318444804443,0.6807572625242593,0.7886524822695036
5,0.3817953161647839,0.8847489007174265,0.4965387792902046,0.8390070921985816
6,0.2829644014694594,0.9129831057625549,0.47374434685439204,0.8453900709219858
7,0.22741020881876733,0.9280259199259431,0.5918528020088927,0.8304964539007093
8,0.18926824662641956,0.944688729460773,0.5361705074149571,0.8418439716312057
9,0.16122544754117837,0.9486230039342745,0.5328425898980559,0.8624113475177305
10,0.13318537637536376,0.9592686878037492,0.5185043647508608,0.8709219858156029
